step,ax,ay,aloss,sx,sy,sloss
159,-1.30145,1.7,5.30054,-1.32431,1.76046,5.40686
160,-1.30015,1.6966,5.29454,-1.32328,1.7578,5.40216
161,-1.29884,1.69319,5.28852,-1.3223,1.7551,5.39746
162,-1.29753,1.68977,5.28247,-1.32131,1.75239,5.39275
163,-1.29622,1.68634,5.27641,-1.32029,1.7497,5.38801
164,-1.29489,1.6829,5.27032,-1.31924,1.747,5.38324
165,-1.29356,1.67945,5.26421,-1.31818,1.7443,5.37845
166,-1.29222,1.676,5.25808,-1.31716,1.74157,5.37367
167,-1.29088,1.67253,5.25193,-1.31613,1.73883,5.36886
168,-1.28953,1.66906,5.24575,-1.31508,1.7361,5.36403
169,-1.28817,1.66558,5.23956,-1.31402,1.73335,5.35918
170,-1.28681,1.66208,5.23335,-1.31295,1.7306,5.3543
171,-1.28545,1.65857,5.22711,-1.31193,1.72781,5.34944
172,-1.28408,1.65506,5.22085,-1.31088,1.72502,5.34454
173,-1.2827,1.65153,5.21457,-1.30981,1.72224,5.33963
174,-1.28132,1.64798,5.20827,-1.30871,1.71946,5.33468
175,-1.27994,1.64443,5.20195,-1.30761,1.71667,5.32972
176,-1.27855,1.64087,5.19561,-1.30656,1.71384,5.32476
177,-1.27716,1.6373,5.18925,-1.3055,1.711,5.31978
178,-1.27576,1.63371,5.18286,-1.30441,1.70817,5.31477
179,-1.27435,1.63012,5.17646,-1.3033,1.70533,5.30973
180,-1.27294,1.62653,5.17003,-1.30218,1.70249,5.30467
181,-1.27152,1.62292,5.16359,-1.30111,1.69961,5.29962
182,-1.27009,1.6193,5.15712,-1.30001,1.69673,5.29454
183,-1.26866,1.61567,5.15063,-1.29889,1.69386,5.28944
184,-1.26723,1.61203,5.14412,-1.29775,1.69098,5.28431
185,-1.26578,1.60839,5.13759,-1.29661,1.68809,5.27916
186,-1.26434,1.60473,5.13104,-1.29552,1.68515,5.27401
187,-1.26289,1.60106,5.12447,-1.29441,1.68222,5.26884
188,-1.26143,1.59738,5.11788,-1.29327,1.67929,5.26364
189,-1.25997,1.59369,5.11127,-1.2921,1.67637,5.25841
190,-1.2585,1.58999,5.10463,-1.29093,1.67343,5.25316
191,-1.25703,1.58628,5.09798,-1.28981,1.67045,5.24791
192,-1.25555,1.58256,5.09131,-1.28867,1.66747,5.24264
193,-1.25407,1.57884,5.08461,-1.28751,1.66449,5.23734
194,-1.25258,1.5751,5.07789,-1.28632,1.66151,5.23201
195,-1.25108,1.57136,5.07116,-1.28513,1.65851,5.22665
196,-1.24958,1.5676,5.0644,-1.28399,1.65548,5.2213
197,-1.24807,1.56384,5.05762,-1.28282,1.65245,5.21592
198,-1.24656,1.56007,5.05082,-1.28163,1.64942,5.21052
199,-1.24504,1.55629,5.04401,-1.28041,1.64639,5.20509
200,-1.24352,1.55249,5.03717,-1.27919,1.64334,5.19963
201,-1.24199,1.54869,5.03031,-1.27802,1.64026,5.19417
202,-1.24046,1.54488,5.02343,-1.27684,1.63717,5.18868
203,-1.23892,1.54106,5.01652,-1.27562,1.63408,5.18317
204,-1.23737,1.53723,5.0096,-1.27437,1.631,5.17763
205,-1.23582,1.53339,5.00266,-1.27312,1.6279,5.17206
206,-1.23426,1.52954,4.9957,-1.27193,1.62475,5.16649
207,-1.2327,1.52569,4.98872,-1.27071,1.62161,5.16089
208,-1.23113,1.52182,4.98171,-1.26946,1.61847,5.15527
209,-1.22956,1.51795,4.97469,-1.26819,1.61533,5.14961
210,-1.22798,1.51406,4.96765,-1.26691,1.61217,5.14393
211,-1.22639,1.51017,4.96058,-1.26569,1.60897,5.13825
212,-1.2248,1.50627,4.9535,-1.26445,1.60576,5.13253
213,-1.2232,1.50236,4.9464,-1.26317,1.60257,5.12679
214,-1.2216,1.49844,4.93927,-1.26186,1.59937,5.12102
